,tid,userId,fid,typeId,domainId,topicId,nickName,subject,content,dateline,ip,stateInfo,traceInfo,processInfo,hasReported,favNum,forumName,typeName,domainName,sourceName,answerId,answerContent,answerDateline,answerOrganization,userType,threadState,publicAttachment,userFavStatus,grade,gradeLevel,gradeManner,gradeSpeed,trashRecheckState,attachment,threadsCheckTime,from,shisiwu,date
9,14079113,2700685,556,6,12.0,116,E***,防肺栓塞紧急求药,"背景：孩子独自在上海，4月2日突发下肢深静脉血栓形成，15天内危险期，血栓脱落容易引起肺栓塞导致死亡。
4月6日大夫给开的7天药物到1...",1649552803,36.112.186.*,待回复,待回复,未交办,0,0,上海市市长龚正,求助,医疗,客户端,,,,,0,1,,,,,,,0,0,1649583791, 浙江省 杭州市,False,2022-04-10
0,14078846,6480582,555,5,9.0,116,小***,防疫物资配送,1 从外地运输物资时，提前在运输地把所有货品进行分类组合打包（老百姓能接受的价格之内）多种蔬菜打包好在装车，来到上海直接分发，简单方便...,1649550834,111.34.133.*,待回复,待回复,未交办,0,0,上海市委书记李强,建言,三农,手机浏览器,,,,,0,1,,,,,,,0,0,1649583884, 山东省 济南市,False,2022-04-10
1,14078729,3741146,2745,1,2.0,0,平***,咨询,尊敬的县领导，我是上海打工的农民工，上海建方仓医院，我也积极报名参加...,1649550030,114.85.147.*,待回复,待回复,未交办,0,0,清水县委书记,咨询,政务,客户端,,,,,0,1,0.0,,,,,,0,1,1649664494, 上海市,False,2022-04-10
2,14078284,3423161,567,5,6.0,0,砀***,淮砀荷城际高铁规划(沪太高铁安徽段),这样一来聊城菏泽人民就可以通过淮砀荷、淮宿蚌城际快速的直达南京上海了、相比走商合杭更具优势！通过线路比对沪太高铁从徐州到<label ...,1649545401,36.59.8.*,待回复,待回复,未交办,0,0,山东省委书记李干杰,建言,交通,手机浏览器,,,,,0,1,,,,,,,0,0,1649668438, 安徽省 合肥市,False,2022-04-09
3,14077991,6480368,556,5,12.0,116,为***,上海疫情严重给两点建议，出一点力。,"尊敬的上海市长龚正:   您好！
     上海疫情严重牵动着全国人...",1649539178,120.229.77.*,待回复,待回复,未交办,0,0,上海市市长龚正,建言,医疗,手机浏览器,,,,,0,1,,,,,,,0,0,1649550705,热心网友,False,2022-04-09
4,14076749,6174927,4732,6,11.0,0,g***,雄东施工单位拖欠职工工资，导致无法生活。,领导好：我是北京*鼎装饰公司的现场管理人员高*，公司承接了雄东上海宝冶的项目，我从2021年8月至2022年1月一直在工地上工作。...,1649514201,101.72.126.*,待回复,待回复,未交办,0,0,雄安新区党工委书记张国华,求助,就业,客户端,,,,,0,1,0.0,,,,,,0,1,1649664629, 河北省,False,2022-04-09
5,14075666,6478676,555,5,12.0,116,科***,关于上海物资调运,供沪物资尽量用集装箱运输到上海市周边城市，直接将集装箱换一台车运输进上海</labe...,1649506937,112.97.86.*,已办理,已办理,未交办,0,0,上海市委书记李强,建言,医疗,手机浏览器,,,,,0,1,,,,,,,0,0,1649514160, 广东省 深圳市,False,2022-04-09
6,14075103,6478987,1009,6,11.0,0,1***,不按合同给员工交社保,本人于2021年10月11日入职上海族栗企业管理有限公司，门店位于鄞州区东岸里广场盒马鲜生超市内，公司从未按合同规定给宁波地区的员工交...,1649503126,39.189.35.*,待回复,待回复,未交办,0,0,宁波市委书记彭佳学,求助,就业,客户端,,,,,0,1,0.0,,,,,,0,1,1649664629, 浙江省 宁波市,False,2022-04-09
7,14074648,2901652,1036,1,6.0,0,W***,淮南火车站站牌,反观上海，济南，兰州，西安等城市火车站均为书法字体,1649499741,223.245.193.*,办理中,待回复,线下交办,0,0,淮南市市长张孝成,咨询,交通,微信小程序,,,,,0,1,,,,,,,0,0,1649583244, 安徽省 合肥市,False,2022-04-09
8,14074642,6381495,555,5,2.0,116,Z***,运力不足请优先启用全市公交车驾驶员等,目前上海最难的是老百姓购买不到物资产生了恐慌！既然有那么多地方说不是没有物资，而是缺乏运力，为何不先让公交车驾驶员先顶上来增加运力？还...,1649499682,39.144.45.*,已办理,已办理,未交办,0,0,上海市委书记李强,建言,政务,手机浏览器,,,,,0,1,,,,,,,0,0,1649514160, 北京市,False,2022-04-09
9,14074421,3712707,2060,1,7.0,0,宋***,亲水苑改造,上海西路亲水苑小区有没有旧城改造计划，这小区已经20来年了，外立面，居住体验都很不如意了。整体形象与周边都不匹配。如果有改造计划，请说...,1649497980,111.113.175.*,待回复,待回复,未交办,0,0,金凤区委书记,咨询,城建,客户端,,,,,0,1,,,,,,,0,0,1649583464, 宁夏回族自治区 银川市,False,2022-04-09
0,14074171,2709527,1205,6,2.0,0,f***,困难求助,本人唐**，男，现年55岁，永定区合作桥乡高万村人，由于家境不好，又是属于国家建档立卡户，本人为早日摆脱家境困难，为早日减轻国家负担，于2022年3月28日受老乡介绍来到<label style='c...,1649496233,101.84.164.*,办理中,待回复,线下交办,0,0,张家界市委书记刘革安,求助,政务,微信小程序,,,,,0,1,0.0,,,,,,0,1,1649642316, 上海市,False,2022-04-09
1,14073990,6478481,555,5,12.0,116,c***,加强对核酸检测人群秩序的管理,目前，上海核酸检测时，要求人们相隔2米距离。而实际检测中，由于没有强有力的监管，有的地方人们之间距离很近，这无疑会加剧病毒的传播。管理...,1649495029,183.210.108.*,已办理,已办理,未交办,0,0,上海市委书记李强,建言,医疗,PC浏览器,,,,,0,1,,,,,,,0,0,1649513853, 江苏省 扬州市,False,2022-04-09
2,14072664,6477977,1135,6,7.0,0,W***,经开区住宅，交房2年临电无暖气，监管资金为0,绿地集团是上海市国有控股特大型企业集团，绿地集团河南经开区项目绿地澜庭二期三期交房快3年，截至今日，小区还是临时电无暖气，小区达不到交...,1649486498,39.162.151.*,办理中,待回复,线下交办,0,0,郑州市委书记安伟,求助,城建,微信小程序,,,,,0,1,0.0,,,,,,0,1,1649580829, 北京市,False,2022-04-09
3,14072306,6477638,556,6,1.0,116,北***,关于管控期间上海办理进度暂停的问题求助,为了语言班和后续申请，我于2022年3月30日在嘉定出入境管理局提交了办理申请，被告知上海出入境管理总局在3月26日进入了无限期封控状...,1649484388,101.93.39.*,待回复,待回复,未交办,0,0,上海市市长龚正,求助,治安,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1649489789, 上海市,False,2022-04-09
4,14071072,3250884,2022,6,12.0,0,聆***,集中隔离问题反馈,尊敬的领导您好，本人于3月26和妻子从上海乘坐高铁返回老家洋县养伤，出站现场登记做核酸检测，被集中隔离到湖光轩酒店，原定7天集中隔离7...,1649476331,1.81.148.*,待回复,待回复,未交办,0,0,洋县县委书记,求助,医疗,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1649578705, 陕西省 汉中市,False,2022-04-09
5,14071004,6477130,556,2,7.0,0,J***,上海自忠路动迁投诉无门,领导好我是家住自忠路某弄某号的普通百姓，我的情况是2021年6月前后自忠路的房屋已经被封，我们一家人已经在外租房9个月了，每月房租5000多元，而动迁补偿款迟迟不到位，我已经在借钱交房租了。此事反映给...,1649476008,101.86.206.*,待回复,待回复,未交办,0,0,上海市市长龚正,投诉,城建,PC浏览器,,,,,0,1,,,,,,,0,0,1649557272, 上海市,False,2022-04-09
6,14070850,6370939,555,2,11.0,0,W***,上海松江区星晨幼儿园拖欠工资不发,本人于2022年2月11日至2022年3月11日在上海松江星晨幼儿园工作，自2022年2月开始<label style='color:...,1649475132,58.39.5.*,待回复,待回复,未交办,0,0,上海市委书记李强,投诉,就业,微信小程序,,,,,0,1,0.0,,,,,,0,1,1649559693, 上海市,False,2022-04-09
7,14070247,3009734,811,6,11.0,0,W***,2020年邯郸市人才引进政策何时能落实,领导您好，我老婆是天津大学硕士研究生，2020年参加邯郸市人才引进并录用，根据邯郸人才引进政策，配偶在其他工作单位的，有关部门负责协调至邯郸对口单位，我目前在<label style='color:r...,1649471613,58.243.254.*,待回复,待回复,未交办,0,1,邯郸市委书记张维亮,求助,就业,微信小程序,,,,,0,1,0.0,,,,,,0,1,1649580919, 安徽省 合肥市,False,2022-04-09
8,14070153,6476518,4075,2,4.0,0,H***,银城月鹭府项目,本人在上海工作，因为近期疫情严重公司效益不好面临失业风险，且经与多方确认，月鹭府将比合同上约定的日期（5月10号）延期三个月以上交付。...,1649471089,101.228.150.*,办理中,待回复,线上交办,0,0,溧水区委书记,投诉,企业,客户端,,,,,0,1,,,,,,,0,0,1649582245, 上海市,False,2022-04-09
9,14069697,1552630,555,1,12.0,0,@***,接种新冠疫苗的咨询,现在上海处于抗疫关键时刻，询问在此期间需要打新冠疫苗怎么办？,1649468555,101.84.54.*,待回复,待回复,未交办,0,0,上海市委书记李强,咨询,医疗,PC浏览器,,,,,0,1,,,,,,,0,0,1649489789, 上海市,False,2022-04-09
0,14069601,2167047,556,5,2.0,116,运***,几点抗疫小建议,"本人是一位南京市民，看到上海疫情，牵动我们全国人民的心
1.要让上海...",1649467755,180.111.132.*,已办理,已办理,未交办,0,0,上海市市长龚正,建言,政务,PC浏览器,,,,,0,1,,,,,,,0,0,1649489789, 江苏省 南京市,False,2022-04-09
1,14069392,6476329,5069,5,,0,琪***,关于疫情防控新举措的建议书,建议二：目前国家应该没有无症状感染者自行咽拭子的数据准确率有多高，目前上海有可以测试的基础，请速对此开展数据测试，只要高于60%额准确...,1649466426,222.209.154.*,待回复,待回复,未交办,0,0,国家卫生健康委员会主任、党组书记马晓伟,建言,,手机浏览器,,,,,0,1,,,,,,,0,0,1649510618, 四川省 成都市,False,2022-04-09
2,14069334,3298043,555,5,12.0,116,Z***,建议成立物资保供组,比如货运司机组，在外地物资车送到转运区，原司机下车，组织好一批在上海内的司机，驾车送至市内。待卸货后再将车开回，在转运区消杀后检查车子...,1649466046,36.18.46.*,已办理,已办理,未交办,0,0,上海市委书记李强,建言,医疗,手机浏览器,,,,,0,1,,,,,,,0,0,1649489789, 浙江省 杭州市,False,2022-04-09
3,14069180,6339397,2556,2,7.0,0,小***,专区医院旁小路施工围挡了就一米宽,从上海路到专区医院的小路，去年棚改拆房了施工围挡占用了道路，现在马路就一米宽。长期来往行人很多，过路都困难。现在该拆的也拆了一年多了，...,1649465014,39.144.227.*,待回复,待回复,未交办,0,0,汇川区委书记,投诉,城建,客户端,,,,,0,1,0.0,,,,,,0,1,1649639178, 北京市,False,2022-04-09
4,14068936,6476111,1029,2,7.0,0,乐***,瑶海区淮南路建设为何遥遥无期，沿途居民苦不堪,一直听有关部门说和上海铁路局产权移交中，到底有什么结果呢？希望抓紧推进，让老百姓真真正正有获得感和幸福感，不能年复一年的拖下去了，拜托,1649462914,58.243.254.*,待回复,待回复,未交办,0,1,合肥市委书记虞爱华,投诉,城建,手机浏览器,,,,,0,1,,,,,,,0,0,1649566449, 安徽省 合肥市,False,2022-04-09
5,14068786,6475267,555,6,12.0,116,胡***,上海求医，请求将随申办黄码调整为绿码,因父亲病情严重，急需手术，九院解封就要赶往上海，请求相关部门尽快将随申办黄码转为绿码，谢谢！！！,1649461507,36.152.75.*,待回复,待回复,未交办,0,0,上海市委书记李强,求助,医疗,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1649489789, 北京市,False,2022-04-08
6,14068602,6475968,962,6,11.0,0,W***,拖欠工资,尊敬的领导您好，本人在上海市宝山区大场镇华灵路随扬手工包子店上班从事面点工作，自2021年7月1日到2021年8月16日，拖欠工资壹万...,1649459802,183.195.42.*,待回复,待回复,未交办,0,0,宝山区区长高奕奕,求助,就业,微信小程序,,,,,0,1,0.0,,,,,,0,1,1649559693, 上海市,False,2022-04-08
7,14068029,5289827,555,6,12.0,116,c***,帮帮生命垂危的老人,李书记您好，我们是从安徽来沪看病的，3月6日至今一直在上海六院急诊住院，由于疫情等原因六院两楼之间处于封闭状态，主治医生也无法进入急诊...,1649443324,120.243.120.*,待回复,待回复,未交办,0,0,上海市委书记李强,求助,医疗,手机浏览器,,,,,0,1,,,,,,,0,0,1649489789, 北京市,False,2022-04-08
8,14067563,6325993,1338,6,12.0,0,W***,隔离费用过高,本人是3月30日从上海回昆明，一下飞机就被带到石林酒店隔离，下飞机时工作人员告诉我们隔离是免费的，但是到了酒店被告知308元/天，一共...,1649432612,112.115.174.*,待回复,待回复,未交办,0,0,昆明市市长刘佳晨,求助,医疗,微信小程序,,,,,0,1,,,,,,,0,0,1649578705, 云南省 昆明市,False,2022-04-08
9,14067374,6475543,967,6,2.0,0,W***,团组织关系转接,您好，我的智慧团建上显示我的团组织关系在上海永联保安公司支部委员会，由于升学原因需要转出团组织，但那边一直无人审批。并且管理员的联系信...,1649431068,182.97.52.*,待回复,待回复,未交办,0,0,浦东新区区委书记朱芝松,求助,政务,PC浏览器,,,,,0,1,,,,,,,0,0,1649514160, 江西省 南昌市,False,2022-04-08
0,14067173,5373717,806,6,11.0,0,W***,石家庄业之峰装饰有限公司恶意拖欠农民工工资,石家庄业之峰装饰有限公司和我们并不认识的上海杨桥劳务公司来回推托，并且这两个公司都不承认我们的存在，我们的劳动报酬在他们两个公司之间来...,1649429403,106.113.25.*,待回复,待回复,未交办,0,0,石家庄市市长马宇骏,求助,就业,微信小程序,,,,,0,1,0.0,,,,,,0,1,1649743087, 河北省 石家庄市,False,2022-04-08
1,14065993,6399017,963,6,11.0,0,波***,应届生被恶意拖欠工资，多次讨薪无果，求帮助！,事情经过：我2021.12.6-2022.3.4任职于“上海掌尚智慧科技有限公司”的摄影师岗位，期间认真工作，离职时交接好了所有工作和...,1649422128,180.162.105.*,待回复,待回复,未交办,0,0,闵行区委书记陈宇剑,求助,就业,客户端,,,,,0,1,0.0,,,,,,0,1,1649559693, 上海市,False,2022-04-08
2,14065628,3823661,1175,5,2.0,0,陈***,民生生活的保障设施提议,尊敬十堰市委市政府领导你们好，我是一名茅箭区市民，有一个关于市民的民生生活配套设施提议，北京南路到火车站，冠城美丽方.汉城国宾府.百强生态城.大洋五洲，西到<label style='color:re...,1649420006,171.115.207.*,待回复,待回复,未交办,0,0,十堰市委书记胡亚波,建言,政务,微信小程序,,,,,0,1,1.0,,,,,,0,1,1649664629, 湖北省 武汉市,False,2022-04-08
3,14065390,2726712,556,6,2.0,0,读***,生活物资保障求助,我住在上海市宝山区一二八纪念路967弄27号居尚公寓，我们这里从4月1日开始封闭，希望政府能帮我们解决这个生活物资保障的问题。希望政府...,1649418665,116.237.255.*,待回复,待回复,未交办,0,0,上海市市长龚正,求助,政务,客户端,,,,,0,1,0.0,,,,,,0,1,1649489789, 上海市,False,2022-04-08
4,14064926,6474209,967,6,4.0,116,Z***,营养代餐食品支援上海抗疫,上海疫情牵动首都人民的心，近日有报道说上海的生活物资出现短缺现象，我...,1649415853,114.254.3.*,待回复,待回复,未交办,0,0,浦东新区区委书记朱芝松,求助,企业,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1649489789, 北京市,False,2022-04-08
5,14064323,4726564,961,9,2.0,116,喵***,感恩政府，收到物资了谢谢,非常感谢政府，感谢你们，感谢所有奋斗在抗击疫情的工作者们，上海加油。,1649412167,124.79.242.*,待回复,待回复,未交办,0,0,宝山区委书记陈杰,感谢,政务,客户端,,,,,0,1,1.0,,,,,,0,1,1649489789, 上海市,False,2022-04-08
