,tid,userId,fid,typeId,domainId,topicId,nickName,subject,content,dateline,ip,stateInfo,traceInfo,processInfo,hasReported,favNum,forumName,typeName,domainName,sourceName,answerId,answerContent,answerDateline,answerOrganization,userType,threadState,publicAttachment,userFavStatus,grade,gradeLevel,gradeManner,gradeSpeed,trashRecheckState,attachment,threadsCheckTime,from,mobile,tag,shisiwu,date
0,14489092,6386722,1368,2,7.0,0,W***,凤城一路城市锦上门口,人行道不完整，要求恢复人行道和绿化，设置隔离桩，防止乱停乱放影响行人通行,1651706563,223.104.11.*,待回复,待回复,未交办,0,0,西安市市长李明远,投诉,城建,微信小程序,,,,,0,1,1.0,,,,,,0,1,1651735525, 陕西省 西安市,,,False,2022-05-04 00:00:00
1,14486384,6715680,553,5,7.0,0,非***,哈西大桥连接三环,1.优选在哈西大桥与三环交口处，取消隔离桩，设置红绿灯。,1651670676,117.179.236.*,办理中,待回复,线上交办,0,0,黑龙江省委书记许勤,建言,城建,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1651717964, 北京市,,,False,2022-05-04 00:00:00
2,14485423,6715435,1220,2,12.0,0,J***,酒店强制订餐100元一天,您好，本人4月29日从香港返回深圳**酒店隔离，房费每天300多。,1651665065,113.88.210.*,待回复,待回复,未交办,0,0,深圳市市长覃伟中,投诉,医疗,PC浏览器,,,,,0,1,,,,,,,0,0,1651714336, 广东省 深圳市,,,False,2022-05-04 00:00:00
3,14485381,6715314,1151,6,7.0,0,狮***,东湖花畔交房和物业收费相关问题,1、小区的西大门与北大门建设还未完成，开发商使用临时隔离板进行封堵。在这种基础设施还未完成的情况下是否能够达到交付标准？,1651664774,120.244.188.*,办理中,待回复,线上交办,0,1,濮阳市委书记杨青玖,求助,城建,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1651800166, 北京市,,,False,2022-05-04 00:00:00
4,14484769,6715145,741,2,11.0,0,W***,不发工资,在中农鼎佳国际农业科技有限公司3月加4月一共上了38天班工资总共7448人民币.3月工资应4.15号发刚开始领导以财务住院为借口不发工资后来说财务隔离...,1651660429,222.129.48.*,办理中,待回复,线下交办,0,0,朝阳区委书记王灏,投诉,就业,微信小程序,,,,,0,1,0.0,,,,,,0,1,1651714336, 北京市,,,False,2022-05-04 00:00:00
5,14484695,6715122,591,6,11.0,0,焦***,2022公务员考试进行时间和部分可能隔离考生,可否提前20天左右公示，因为14天公示可能会使得部分在外地工作或者上学，需要返回考生因为隔离时间不够参加不上考试。这样不公平。,1651660005,139.227.1.*,待回复,待回复,未交办,0,0,陕西省委书记刘国中,求助,就业,PC浏览器,,,,,0,1,,,,,,,0,0,1651718361, 上海市,,,False,2022-05-04 00:00:00
6,14483196,6714178,1220,2,7.0,0,深***,消防安全,南山区龙珠大道245号龙辉花园南边铁路边荔枝树下，长期停放很多小汽车，存在消防安全隐患，花园作为疫情隔离点，在进出口西门，更是用停车场...,1651651512,183.46.108.*,待回复,待回复,未交办,0,0,深圳市市长覃伟中,投诉,城建,手机浏览器,,,,,0,1,,,,,,,0,0,1651719101, 广东省 汕头市,,,False,2022-05-04 00:00:00
7,14482390,1870257,1531,5,7.0,0,杨***,《关于奉节县滨河公园等在建公园多设无障碍通道,目前城市街区、公园、及部分公共服务场所，现有的无障碍公共设施建设或不完善或存在人为设置隔离障碍，远不能满足残疾人出行的基本条件，残障人...,1651646628,183.227.65.*,待回复,待回复,未交办,0,0,奉节县委书记张果,建言,城建,客户端,,,,,0,1,,,,,,,0,0,1651795950, 重庆市,,,False,2022-05-04 00:00:00
8,14482237,6300947,550,6,2.0,0,W***,吉林返沈政策,我亲戚从吉林省吉林市船营区长春路东北电力大学返回沈阳市于洪区迎宾路街道和泰新城，我问过市12345，说是在家隔离，我去社区报备，社区不...,1651645704,39.144.57.*,办理中,待回复,线下交办,0,0,辽宁省省长李乐成,求助,政务,微信小程序,,,,,0,1,,,,,,,0,0,1651735711, 北京市,,,False,2022-05-04 00:00:00
9,14481977,6672659,891,6,12.0,0,y***,5月1日留言还没明确答复,五月一日关于回吉林省返回后要求14天集中隔离的的留言何时明确答复？,1651644283,112.40.6.*,办理中,待回复,线下交办,0,0,辽阳市委书记霍步刚,求助,医疗,客户端,,,,,0,1,,,,,,,0,0,1651735711, 上海市,,,False,2022-05-04 00:00:00
0,14481521,5440321,539,2,1.0,0,本***,双花园西里小区周边违法停车造成拥堵长期不解决,以前时候中间有隔离护栏，车辆不能乱停，后来修路以后护栏撤了才这样，把中间隔离</la...,1651641355,223.104.39.*,办理中,待回复,线下交办,0,0,北京市委书记蔡奇,投诉,治安,客户端,,,,,0,1,1.0,,,,,,0,1,1651669497, 北京市,,,False,2022-05-04 00:00:00
1,14481370,4153440,3984,6,11.0,0,h***,山东长材人力资源有限公司欺骗招工,进厂前先隔离7天每天一百工资，隔离完后进厂是化工厂，不紧气味大，粉尘...,1651640380,223.104.195.*,已办理,已办理,未交办,0,0,邹城市委书记,求助,就业,客户端,,,,,0,1,1.0,,,,,,0,3,1651670249, 山西省,,,False,2022-05-04 00:00:00
2,14481152,6709025,1161,1,6.0,0,刘***,大学生返乡,我想问一下，长春到商丘出站用隔离吗？到商丘可以中转吗？,1651639203,36.97.186.*,办理中,待回复,线上交办,0,0,商丘市委书记李国胜,咨询,交通,客户端,,,,,0,1,,,,,,,0,0,1651670249, 浙江省 杭州市,,,False,2022-05-04 00:00:00
3,14481057,5549774,2942,2,13.0,0,Z***,新市区锦峰苑小区1号楼四单元臭味,新市区石油新村街道锦峰社区锦峰苑小区1号楼四单元地下室有下水道一直漏臭水，已经有一个多月时间了，跟好人缘物业人员以及社区多次反应无果，现天气日益升温，恶臭明显，细菌滋生，单元内还有居家<label s...,1651638781,49.118.12.*,办理中,待回复,线下交办,0,0,新市区委书记,投诉,环保,微信小程序,,,,,0,1,,,,,,,0,0,1651670249, 新疆维吾尔自治区 乌鲁木齐市,,,False,2022-05-04 00:00:00
4,14480877,3578138,751,9,2.0,0,q***,实名表扬碧岸澜庭社区（居委会）,本人及家人处在居家隔离状态下，因高危孕妇需要做重要产检，感谢居委会工作人员连夜帮忙协调，保证了产检的顺利完成，特此感谢！,1651637750,111.199.217.*,待回复,待回复,未交办,0,0,房山区委书记陈清,感谢,政务,客户端,,,,,0,1,,,,,,,0,0,1651669497, 北京市,,,False,2022-05-04 00:00:00
5,14480736,6712771,4137,2,7.0,0,W***,道路中间隔离栏有安全隐患,紫御天铂小区西门与爱琴海购物公园之间是一条机动车与非机动车、行人混行的道路，道路分为一来一去两车道中间原先划有黄色虚线，就在4月份下旬，由交通部门安排现场在中间黄色虚线上加装了一米多高的<label ...,1651637022,49.93.212.*,待回复,待回复,未交办,0,0,亭湖区委书记,投诉,城建,微信小程序,,,,,0,1,1.0,,,,,,0,1,1651740857, 江苏省 南京市,,,False,2022-05-04 00:00:00
6,14480686,6615299,4274,6,7.0,0,草***,请问这样修路合法合规吗？,曲靖市金麟湾房地产有限公司紧靠金麟湾.麓岭小区围墙修建山湖里小区出入通道，离围墙不足2米，无绿化带、人行道等隔离。根据山湖里小区的规划...,1651636724,117.136.85.*,待回复,待回复,未交办,0,1,麒麟区委书记,求助,城建,客户端,,,,,0,1,0.0,,,,,,0,3,1651654183, 北京市,,,False,2022-05-04 00:00:00
7,14480165,1662061,1957,2,7.0,0,梦***,开发商存在虚假宣传，肆意改变格局形态,"尊敬的浐灞生态区住房建设局领导:
  位于浐灞生态区北辰局与启源三路正在建设的上河云璟，由陕西辰宫房地产开发有限公司及西安龙湖物业运营管理的项目，一期辰宫双河湾和正在建设的上河云璟合并，用绿化软<la...",1651634534,117.136.87.*,待回复,待回复,未交办,0,0,灞桥区委书记,投诉,城建,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1651652272, 北京市,,,False,2022-05-04 00:00:00
8,14479945,4822474,752,6,12.0,0,幽***,隔离,领导您好：我是居家隔离的人员，我们属于拱辰街道管辖，在居家隔离期间医...,1651633510,124.126.199.*,已办理,已办理,未交办,0,0,房山区区长阳波,求助,医疗,微信小程序,,,,,0,1,,,,,,,0,0,1651643697, 北京市,,,False,2022-05-04 00:00:00
9,14479756,6712335,565,1,12.0,0,柒***,2022年度省直事业单位公开招聘考试,尊敬的领导：上饶因为疫情，本人还在万年支援，等支援结束回去还要隔离，不延期真的赶不上考试了，希望能延期考试,1651632697,183.216.159.*,待回复,待回复,未交办,0,0,江西省委书记易炼红,咨询,医疗,手机浏览器,,,,,0,1,,,,,,,0,0,1651644159, 江西省 上饶市,,,False,2022-05-04 00:00:00
0,14478462,1754981,1260,2,13.0,0,商***,关于万达茂御江国际噪音问题,噪音应该近距离隔离才有效，高速公路声屏障墙为何一直未安装？,1651627332,180.136.229.*,办理中,待回复,线下交办,0,0,南宁市市长廖立勇,投诉,环保,PC浏览器,,,,,0,1,1.0,,,,,,0,1,1651670249, 广西壮族自治区 南宁市,,,False,2022-05-04 00:00:00
1,14478336,6711558,1820,2,1.0,0,昨***,体育馆公共场合私家经营儿童车，危险撞人,在公共活动区域，有商家私家经营儿童车，没有任何安全隔离。经常都是不满5岁的小孩自己驾驶，横冲直撞，存在极大的安全隐患。经常出现儿童驾驶...,1651626818,223.104.218.*,办理中,待回复,线下交办,0,0,三台县委书记,投诉,治安,客户端,,,,,0,1,0.0,,,,,,0,1,1651644159, 山西省,,,False,2022-05-04 00:00:00
2,14478274,6711237,825,6,2.0,0,W***,在隔离酒店吃不饱,在衡水永兴路维也纳酒店隔离。吃不饱。酒店工作人员不管，也不让家人送吃的。。,1651626544,218.12.18.*,办理中,待回复,线下交办,0,0,衡水市委书记吴晓华,求助,政务,微信小程序,,,,,0,1,1.0,,,,,,0,1,1651735711, 河北省 石家庄市,,,False,2022-05-04 00:00:00
3,14477327,6395233,2366,2,6.0,0,我***,违停车,雅居车库出入口均设在兴华南街、淮南街，因淮南街、兴华南街车辆乱停乱放，造成业主车辆出行不便，加之兴华南街接送学生，基本上都是单车道通行，需要等上好几个红绿灯，加之道路没有设置机非<label styl...,1651620880,1.198.219.*,已办理,已办理,未交办,0,0,二七区委书记,投诉,交通,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1651629261, 河南省 郑州市,,,False,2022-05-03 00:00:00
4,14476011,6699718,1033,5,7.0,0,W***,淮河路各别路段提升改造及给航华路修建下穿隧道,然后再给从解放二路至解放路路段和从升平街至纬四路路段的淮河路及整条淮河路安置尽可能多的智慧型和数字型道路交通设施如智慧型和数字型公路情报板、智慧型和数字型视线诱导标志以及在路面上安置各种地灯之照明设施...,1651593549,114.106.24.*,待回复,待回复,未交办,0,0,蚌埠市委书记黄晓武,建言,城建,PC浏览器,,,,,0,1,,,,,,,0,0,1651635191, 安徽省 滁州市,,,False,2022-05-03 00:00:00
5,14475239,6710440,2339,2,2.0,0,满***,无为的隔离政策,无为市的隔离政策是怎么样的？低风险地区（南昌市新建区）回无，为什么乡镇之间的隔离</...,1651588198,120.242.85.*,待回复,待回复,未交办,0,1,无为市委书记,投诉,政务,客户端,,,,,0,1,,,,,,,0,0,1651634667, 北京市,,,False,2022-05-03 00:00:00
6,14474903,6710045,3674,5,7.0,0,生***,全面提升金川区域人居环境的个人建议，请求参考,"是否考虑收回国有，规划建设一批“口袋公园”，此区域小区多，却没有属于市民的一片乐园，希望在此片以及金川区域内规划个更多的口袋公园，
3.金海高架桥去年绿化很好，有由于缺乏管理以及市民的随意践踏，建议在...",1651586755,110.19.102.*,待回复,待回复,未交办,0,1,土默特左旗委书记,建言,城建,PC浏览器,,,,,0,1,,,,,,,0,0,1651676181, 内蒙古自治区 包头市,,,False,2022-05-03 00:00:00
7,14474659,6708975,557,2,7.0,0,w***,扬州邗江区桂香苑小区重大安全隐患,1.扬州市维扬路经济开发区大厦地下停车场项目致使周边居民楼玻璃破碎，墙体裂开，地基下沉，出现安全隐患后，该项目仍在施工，恰在疫情封控期间，小区人员都在居家<label style='color:red...,1651585712,39.144.178.*,已办理,已办理,线上交办,0,0,江苏省委书记吴政隆,投诉,城建,微信小程序,,,,,0,1,1.0,,,,,,0,1,1651673261, 北京市,,,False,2022-05-03 00:00:00
8,14473892,1539238,1113,5,12.0,0,W***,核算检测人员穿的厚，太热,今天核酸去检测，偶然发现穿着隔离衣的医生个个脸色通红，想必是实在太热了。要是大暑天怎么办，是否提前考虑下合理的应对方案，建设临时性检测...,1651581876,223.104.185.*,待回复,待回复,未交办,0,1,潍坊市委书记田庆盈,建言,医疗,客户端,,,,,0,1,,,,,,,0,0,1651797742, 山西省,,,False,2022-05-03 00:00:00
9,14473812,1539238,5069,5,,0,W***,是否应提前定制生产夏季空调款帐篷应对疫情,天热了，今天发现路边太阳伞底下，穿着隔离服的医护人员捂的个个脸色通红。如果大暑到来，工人人员那么热，穿那么多，怎么办？还要考虑室外检测...,1651581560,223.104.185.*,待回复,待回复,未交办,0,0,国家卫生健康委员会主任、党组书记马晓伟,建言,,客户端,,,,,0,1,,,,,,,0,0,1651656427, 山西省,,,False,2022-05-03 00:00:00
0,14472816,4534575,1747,2,12.0,0,事***,反映献县游乐城宾馆隔离点餐食问题,投诉献县游乐城宾馆隔离点每天饭菜质量差，味道无法下咽，餐标也很低，有时还会有剩菜。献县其他<label style='color:re...,1651575249,114.250.17.*,办理中,待回复,线下交办,0,0,献县县委书记,投诉,医疗,客户端,,,,,0,1,0.0,,,,,,0,1,1651629261, 北京市,,,False,2022-05-03 00:00:00
1,14472153,3224501,1148,1,6.0,0,Y***,吉林省长春市返新执行什么防疫政策？,是否需要集中隔离？,1651571384,36.104.182.*,办理中,待回复,线下交办,0,0,新乡市市长魏建平,咨询,交通,客户端,,,,,0,1,0.0,,,,,,0,1,1651735711, 浙江省 杭州市,,,False,2022-05-03 00:00:00
2,14471703,6708531,4060,1,2.0,0,W***,疫情相关政策咨询,我是吉林省长春市的一名学生，现在长春市已经是低风险，我持48小时之内的核酸证明到达山东省菏泽市成武县之后的具体隔离政策是什么?需要集中...,1651568845,36.48.33.*,待回复,待回复,未交办,0,1,成武县委书记,咨询,政务,微信小程序,,,,,0,1,,,,,,,0,0,1651644159, 吉林省 吉林市,,,False,2022-05-03 00:00:00
3,14471294,4765674,883,6,1.0,0,大***,疫情防控隔离医学观察,本人家属28号在丹东职专隔离，至今没有脸盆等用品，希望相关部门协调购买。详情请见备注区。,1651566520,42.249.43.*,待回复,待回复,未交办,0,0,丹东市委书记裴伟东,求助,治安,微信小程序,,,,,0,1,,,,,,,0,0,1651710082, 辽宁省 沈阳市,,,False,2022-05-03 00:00:00
4,14471223,6385429,1147,2,7.0,0,基***,咨询,新乡市高新区绿都温莎城堡开发商私建隔离墙，违法建筑，就必须拆除。没有折中的方案。多次反馈的截图如下。,1651566110,39.149.63.*,办理中,待回复,线下交办,0,0,新乡市委书记李卫东,投诉,城建,微信小程序,,,,,0,1,0.0,,,,,,0,1,1651675468, 北京市,,,False,2022-05-03 00:00:00
5,14471165,6708255,751,2,7.0,0,老***,窦店镇腾龙家园物业,因疫情被通知居家隔离，突然水表停水，随联系物业，物业说水表可能坏，换水表四百多。,1651565833,114.246.34.*,待回复,待回复,未交办,0,1,房山区委书记陈清,投诉,城建,手机浏览器,,,,,0,1,,,,,,,0,0,1651669497, 北京市,,,False,2022-05-03 00:00:00
6,14470095,6707838,742,1,12.0,0,H***,疫情防控问题咨询,需要居家隔离吗？需要的话隔离多久？,1651558801,120.245.120.*,待回复,待回复,未交办,0,0,朝阳区区长文献,咨询,医疗,客户端,,,,,0,1,,,,,,,0,0,1651584373, 北京市,,,False,2022-05-03 00:00:00
7,14468960,6707293,5184,6,1.0,0,杵***,隔离到期 还在继续隔离,本人于4月2号去青岛同车厢有一密接 本人为次密接   4号回邯 7号告知需要被隔离 于当天去白玉兰酒店<label style='co...,1651551963,27.188.73.*,待回复,待回复,未交办,0,0,经济技术开发区党工委书记,求助,治安,手机浏览器,,,,,0,1,,,,,,,0,0,1651729918, 河北省 邯郸市,,,False,2022-05-03 00:00:00
8,14468225,6552618,1367,2,7.0,0,W***,辰宇世纪城一个小区两个物业,安置楼和商品房，毕竟土地性质不一样，买房价钱也不一样，应该且必须隔离开！,1651548230,123.139.112.*,待回复,待回复,未交办,0,0,西安市委书记方红卫,投诉,城建,客户端,,,,,0,1,,,,,,,0,0,1651569742, 陕西省 西安市,,,False,2022-05-03 00:00:00
9,14468181,6706950,2434,2,1.0,0,W***,城关镇宣化寨村疫情防控问题,但是河南省新乡市城关镇宣化寨村村支书说七天健康健康监测和七天居家隔离是一码事，该认知致使人员无法回家，更会致使省内低风险无疫情个别人员...,1651548047,39.144.22.*,办理中,待回复,线下交办,0,0,原阳县委书记,投诉,治安,微信小程序,,,,,0,1,,,,,,,0,0,1651629261, 北京市,,,False,2022-05-03 00:00:00
0,14461783,4404565,561,2,7.0,0,W***,大店新村小区管理混乱,合肥市包河区淝河镇葛大店社区大店新村小区内部车位紧张，部分居民却随意在小区内公共区域私设地锁、放置隔离桩，将公共区域变成个人私家车位，...,1651494303,183.160.55.*,待回复,待回复,未交办,0,0,安徽省委书记郑栅洁,投诉,城建,客户端,,,,,0,1,0.0,,,,,,0,1,1651551949, 安徽省 合肥市,,,False,2022-05-02 00:00:00
1,14460066,6703443,821,5,2.0,116,Z***,康书记您好，关于疫情防控常态化我提个建议。,2、实行一村一个核酸采样点制度，有病例及时发现，及时隔离。3、北京是带星回来以后两次核酸，然后由社区和工作单位跟进，进行3日，7日，1...,1651485109,124.127.10.*,已办理,已办理,未交办,0,0,沧州市委书记康彦民,建言,政务,手机浏览器,,,,,0,1,,,,,,,0,0,1651569148, 北京市,,,False,2022-05-02 00:00:00
2,14459019,6702867,1803,6,7.0,0,l***,国美绿洲物业车库加装地锁,今年以来，国美绿洲小区物业为促进车位销售，将未出售的所有车位进行上锁，并用隔离带封锁，小区除原有车位业主之外，大部分车主为月租车，无法...,1651478517,182.129.130.*,待回复,待回复,未交办,0,0,龙马潭区委书记,求助,城建,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1651551949, 四川省 泸州市,,,False,2022-05-02 00:00:00
3,14458209,6702485,2948,6,6.0,0,冶***,出行问题,我想回趟家，从克拉玛依到乌苏回来会被隔离吗？,1651473299,39.144.196.*,待回复,待回复,未交办,0,0,克拉玛依区委书记,求助,交通,手机浏览器,,,,,0,1,,,,,,,0,0,1651481844, 北京市,,,False,2022-05-02 00:00:00
4,14458085,6702323,923,6,6.0,0,张***,吉林返乡大学生,你好，现在吉林市现在是全面低风险地区，现在学校有返乡政策，可是为什么回宝泉岭社区还要求我们自费集中隔离14天呢？,1651472538,139.215.46.*,办理中,待回复,线下交办,0,1,鹤岗市委书记李洪国,求助,交通,手机浏览器,,,,,0,1,,,,,,,0,0,1651481844, 吉林省 吉林市,,,False,2022-05-02 00:00:00
5,14458044,1427237,2371,6,7.0,0,君***,祥云路高架地面,二、祥云路与文昌路交叉口有一家隔离酒店，然后把路口封死了，这期间附近居民进出绕行这些大家理解，但是路两边停满社会车辆，进出极其不便。,1651472291,223.88.52.*,待回复,待回复,未交办,0,0,新郑市委书记,求助,城建,手机浏览器,,,,,0,1,,,,,,,0,0,1651552572, 河南省 郑州市,,,False,2022-05-02 00:00:00
6,14457976,6702285,553,1,6.0,0,铁***,疫情不办公，个人保留车牌号要过期怎么办？,在哈尔滨市有一个保留的车牌号，本来想2022年5月份回哈尔滨工作并购车使用保留车牌号，由于疫情期间，哈尔滨市车辆管理所无法办公，哈尔滨市的车牌保留期限是一年，将在2022年5月25日到期（加上从杭州低...,1651471861,101.71.37.*,办理中,待回复,线上交办,0,0,黑龙江省委书记许勤,咨询,交通,PC浏览器,,,,,0,1,,,,,,,0,0,1651481678, 浙江省 杭州市,,,False,2022-05-02 00:00:00
7,14457871,6702292,557,1,6.0,0,l***,3+11隔离政策什么时候取消,目前全国范围内只有江苏省搞低风险3+11隔离政策，市外省外低风险出站下高速还需要社区货乡镇人员带才能够回家，导致有家不能回，跨市跨省工...,1651471129,221.131.184.*,办理中,待回复,线上交办,0,4,江苏省委书记吴政隆,咨询,交通,PC浏览器,,,,,0,1,,,,,,,0,0,1651481844, 江苏省 连云港市,,,False,2022-05-02 00:00:00
8,14457854,6694825,1337,1,5.0,0,W***,外省入昆游玩需要隔离吗,苏州行程卡带星到昆明要居家隔离吗？集中隔离价格是多少呢？谢谢。,1651471029,112.22.226.*,待回复,待回复,未交办,0,0,昆明市委书记刘洪建,咨询,旅游,微信小程序,,,,,0,1,,,,,,,0,0,1651481844, 江苏省 苏州市,,,False,2022-05-02 00:00:00
9,14457776,2555808,3465,5,1.0,0,潇***,路边违停严重，影响通行,铁西区兴华南街东北制药南侧道路，本就狭窄，每天违停车辆特别多，导致双向车道变成单向通行，贴罚单不是好的解决办法，建议在双向车道中间增加一排隔离</la...,1651470496,39.144.57.*,待回复,待回复,未交办,0,0,铁西区委书记,建言,治安,客户端,,,,,0,1,0.0,,,,,,0,1,1651481844, 北京市,,,False,2022-05-02 00:00:00
0,14457541,6702135,2064,1,12.0,0,范***,关于疫情期间隔离,请问从河南三门峡义马市入宁，乘坐高铁途经西安北站，转乘停留48分钟，返回宁夏是符合3+2隔离政策还是7+2<label style='...,1651469027,203.93.167.*,待回复,待回复,未交办,0,0,灵武市委书记,咨询,医疗,手机浏览器,,,,,0,1,,,,,,,0,0,1651481844, 辽宁省 大连市,,,False,2022-05-02 00:00:00
1,14457131,6701171,2746,1,12.0,0,薛***,外省读书低分险地区学生返秦安是否要隔离,我是武汉读书的一名大三实习生，打算最近回秦安，问是否需要隔离，隔离费...,1651466416,61.242.149.*,办理中,待回复,线下交办,0,0,秦安县委书记,咨询,医疗,客户端,,,,,0,1,,,,,,,0,0,1651481844, 江西省 南昌市,,,False,2022-05-02 00:00:00
2,14456122,6701303,1901,1,14.0,0,h***,2022简阳教师招聘加分材料可不可以邮寄到简,根据《2022年简阳市公开招聘教师公告》，政策性加分材料必须由本人交到简阳市人力资源和社会保障局事业单位人事管理科，由于国内疫情影响，来简阳返回后我将进行居家<label style='color:r...,1651461198,117.136.69.*,已办理,已办理,未交办,0,0,简阳市委书记,咨询,教育,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1651473946, 北京市,,,False,2022-05-02 00:00:00
3,14455667,5497681,1223,5,6.0,0,林***,进一步加强交通管理,市交通委、各区政府要全面组织排摸本市缺失防护设施的临水临河道路、未设置防撞设施的高等级公路出口匝道、缺少反光标志的路面立柱、道路中央隔离</label...,1651459275,14.150.116.*,办理中,待回复,线下交办,0,0,汕头市委书记温湛滨,建言,交通,手机浏览器,,,,,0,1,,,,,,,0,0,1651473946, 广东省 广州市,,,False,2022-05-02 00:00:00
4,14455374,1133589,5069,5,,0,c***,居家隔离政策全国有个统一,建议：居家隔离政策全国要个统一规定，地方的土政策要在国家政策范围内执行，不能随意加码。,1651457917,114.105.141.*,待回复,待回复,未交办,0,0,国家卫生健康委员会主任、党组书记马晓伟,建言,,微信小程序,,,,,0,1,,,,,,,0,0,1651567560, 安徽省 亳州市,,,False,2022-05-02 00:00:00
